Перфоратор электрический Makita HR2470 780 Вт 2,7 Дж SDS-plus;['//cs.petrovich.ru/images/18363/original.jpg', '//cs.petrovich.ru/images/16820/original.jpg', '//cs.petrovich.ru/images/17463/original.jpg', '//cs.petrovich.ru/images/18293/original.jpg', '//cs.petrovich.ru/images/17460/original.jpg', '//cs.petrovich.ru/images/17795/original.jpg', '//cs.petrovich.ru/images/17255/original.jpg', '//cs.petrovich.ru/images/17409/original.jpg', '//cs.petrovich.ru/images/18343/original.jpg', '//cs.petrovich.ru/images/17650/original.jpg', '//cs.petrovich.ru/images/17092/original.jpg', '//cs.petrovich.ru/images/17403/original.jpg', '//cs.petrovich.ru/images/17335/original.jpg', '//cs.petrovich.ru/images/18963/original.jpg'];//cs.petrovich.ru/images/18363/original.jpg;['Инструмент', 'Электроинструмент', 'Перфораторы', 'Электрические перфораторы Makita'];4.95;105;330;420;10990;10990;2747.25;;92;"<p class=""product-description-text"">Предназначен для сверления, сверления с ударом и долбления (три режима) в таких материалах как  бетон, природный камень, дерево, металл.
У перфоратора отсутствует удар на холостом ходу, он имеет электронную регулировку числа оборотов двигателя, предохранительную (расцепную) муфту, обрезиненный корпус редуктора и антивибрационную боковую рукоятку. Тип крепления хвостика  – SDS-plus.</p><p class=""product-description-title"">Комплектация</p><p class=""product-description-text"">кейс, ограничитель глубины сверления,  дополнительная рукоятка.</p><p class=""product-description-title"">Гарантия</p><p class=""product-description-text"">12 месяцев.</p>";https://rf.petrovich.ru/catalog/12810/105679/;С реверсом;HR2470;Перфоратор;Makita;Профессиональный;780;2,7;4500;SDS-plus;Сверление/сверление с ударом/долбление;1100;32;65;13;230;Горизонтальное;Щеточный;24;3;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Дополнительная рукоятка;Нет;Нет;HR2470;4;370х214х84;12;Кейс;Китай;4,95
Перчатки хлопчатобумажные Стандарт 5 нитей с двойным латексным обливом 10 (XL) зеленые;['//cs.petrovich.ru/image/20726476/original.jpg', '//cs.petrovich.ru/image/20726503/original.jpg'];//cs.petrovich.ru/image/20726476/original.jpg;['Инструмент', 'Спецодежда и средства защиты', 'Защита рук'];0.04;10;190;100;36;37;8.75;;15640;"<p class=""product-description-text"">Предназначены для защиты рук от механических воздействий и истирания при строительных, погрузочно-разгрузочных и сельскохозяйственных работах. Имеют двойное покрытие из натурального латекса.</p>";https://rf.petrovich.ru/catalog/20794/170127/;;069088/6135/146853;Перчатки;No name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Россия;0,04;Универсальное;10;XL;Латекс;Зеленый;Нет
Набор электроинструмента Makita DK0167 лобзик 4329 + дисковая пила HS7601;['//cs.petrovich.ru/image/23958143/original.jpg'];//cs.petrovich.ru/image/23958143/original.jpg;['Инструмент', 'Электроинструмент', 'Наборы электроинструмента'];7.8;415;240;380;14990;14990;3747.25;;9;"<p class=""product-description-text"">Набор инструмента Makita, куда входит сетевая дисковая пила HS7601 мощностью 1200 Вт с диском 190 мм, а также лобзик 4329 мощностью 450 Вт и максимальной режущей способностью по дереву 65 мм.</p><p class=""product-description-title"">Комплектация</p><p class=""product-description-text"">электрический лобзик 4329  – 1 шт., электрическая дисковая пила HS7601  – 1 шт.</p>";https://rf.petrovich.ru/catalog/1938912/940405/;;DK0167;Набор электроинструмента;Makita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Лобзик - 2 м, пила - 2,5 м;;12;Коробка;Румыния;7,8;;;;;;;Сетевой
Подрозетник Schneider Electric для гипсокартона d68х46 мм 8 вводов желтый IP20 с металлическими лапками;['//cs.petrovich.ru/images/91224/original.jpg', '//cs.petrovich.ru/images/1715128/original.jpg', '//cs.petrovich.ru/images/93611/original.jpg', '//cs.petrovich.ru/images/89382/original.jpg', '//cs.petrovich.ru/images/94015/original.jpg'];//cs.petrovich.ru/images/91224/original.jpg;['Электрика', 'Розетки и выключатели', 'Монтажные коробки и комплектующие', 'Подрозетники', 'Подрозетники Schneider Electric'];0.025;78;51;78;31;32;7.5;;435;"<p class=""product-description-text"">Предназначена для установки розеток и выключателей в стены из гипсокартона с возможностью разветвления проводов и кабелей. Для соединения нескольких коробок между собой необходимы соединители.</p><p class=""product-description-title"">Артикул производителя</p><p class=""product-description-text"">IMT351501.</p>";https://rf.petrovich.ru/catalog/285395734/128020/;;IMT351501;Коробка установочная;Schneider Electric;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,025;Для гипсокартона;;;;Желтый;;;44;65;68;46;D68х46;Скрытая;Круглая;IP20;Для проводов и кабелей;Одинарная;Пластик;8;D65х44;От -25 до +60;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Смеситель для раковины LAVELLY Slim однорычажный высокий;['//cs.petrovich.ru/image/10967344/original.jpg', '//cs.petrovich.ru/image/10967398/original.jpg', '//cs.petrovich.ru/image/10967424/original.jpg', '//cs.petrovich.ru/image/10967452/original.jpg', '//cs.petrovich.ru/image/10967465/original.jpg', '//cs.petrovich.ru/image/10967487/original.jpg', '//cs.petrovich.ru/image/10967538/original.jpg', '//cs.petrovich.ru/image/10967556/original.jpg', '//cs.petrovich.ru/image/12021632/original.jpg'];//cs.petrovich.ru/image/10967344/original.jpg;['Сантехника', 'Смесители и душевое оборудование', 'Смесители и комплектующие', 'Смесители для раковины', 'Смесители для раковины Lavelly'];2.2;60;350;215;2599;2599;649.5;;8;"<p class=""product-description-text"">Однорычажный высокий смеситель для раковины LAVELLY Slim. Предназначен для умывальника.</p><p class=""product-description-title"">Комплектация</p><p class=""product-description-text"">Смеситель в сборе, круглая уплотнительная прокладка, крепежная резьбовая трубка, гайка фиксирующая, плоская круглая уплотнительная прокладка, гибкая подводка 40 см 1/2""х М10  – 2 шт.</p>";https://rf.petrovich.ru/catalog/12081/672233/;Короткий излив;672233;Смеситель;Lavelly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Китай;2,2;Для раковины;;;;Хром;;;;;;;;;;;Для раковины;;;;;;;;;;;;;;Slim;Накладной;Однорычажный;Г-образный;Высокий;Латунь;Хром;Глянцевая;150;35;Нет;Современный;1;Нет;Нет;Нет
название;изы;главная иза;категории;вес;высота;длина;ширина;цена1;цена2;цена3;цена4;количество;описание;ссылка;Часто ищут;Артикул;Тип товара;Бренд;Использование;Мощность (Вт);Сила удара;Число ударов;Тип патрона;Режимы;Макс. обороты;Макс. диаметр сверления (дерево);Макс. диаметр сверления (кирпич);Макс. диаметр сверления (металл);Напряжение;Расположение двигателя;Тип двигателя;Макс. диаметр сверления буром (бетон);Количество режимов;Поддержание оборотов под нагрузкой;Быстрая замена щеток;Индикатор включения в сеть;Электронная регулировка числа оборотов;Быстросменный патрон;Наличие реверса;Пылеудаление;Питание от аккумулятора;С ограничителем;Дополнительная комплектация;Плавный пуск;Система гашения вибрации;Модель;Длина сетевого кабеля;Габариты;Гарантия;Упаковка;Страна-производитель;Вес;Применение;Российский размер;Международный размер;Вид покрытия;Цвет;Утепленные;Вид;Глубина;Внутренний диаметр;Внешний диаметр;Высота;Установочный размер;Установка;Форма;Степень защиты;Назначение;Конструкция;Материал;Количество вводов;Внутренние размеры;Температура монтажа;С клеммами;С крышкой;Оптическая;Для плинтуса;Уличная;Взрывозащищенная;Глубокая;Огнестойкость;Серия;Тип установки;Тип управления;Форма излива;Вид излива;Материал корпуса;Покрытие;Поверхность;Длина излива;Картридж;Наличие вытяжной лейки;Стиль;Количество монтажных отверстий;Донный клапан;Поворотный излив;Термостат
